Region,State,City,Year,Month,Temperature (°C)
North,Punjab,Amritsar,2020,January,19.9
North,Punjab,Amritsar,2020,February,36.0
North,Punjab,Amritsar,2020,March,30.6
North,Punjab,Amritsar,2020,April,33.3
North,Punjab,Amritsar,2020,May,20.0
North,Punjab,Amritsar,2020,June,30.0
North,Punjab,Amritsar,2020,July,9.5
North,Punjab,Amritsar,2020,August,8.1
North,Punjab,Amritsar,2020,September,32.5
North,Punjab,Amritsar,2020,October,39.2
North,Punjab,Amritsar,2020,November,31.8
North,Punjab,Amritsar,2020,December,20.4
North,Punjab,Amritsar,2021,January,-1.7
North,Punjab,Amritsar,2021,February,36.5
North,Punjab,Amritsar,2021,March,21.8
North,Punjab,Amritsar,2021,April,35.1
North,Punjab,Amritsar,2021,May,12.9
North,Punjab,Amritsar,2021,June,27.4
North,Punjab,Amritsar,2021,July,36.9
North,Punjab,Amritsar,2021,August,27.4
North,Punjab,Amritsar,2021,September,8.7
North,Punjab,Amritsar,2021,October,14.3
North,Punjab,Amritsar,2021,November,30.2
North,Punjab,Amritsar,2021,December,20.3
North,Punjab,Amritsar,2022,January,6.1
North,Punjab,Amritsar,2022,February,4.1
North,Punjab,Amritsar,2022,March,25.4
North,Punjab,Amritsar,2022,April,12.0
North,Punjab,Amritsar,2022,May,21.7
North,Punjab,Amritsar,2022,June,5.7
North,Punjab,Amritsar,2022,July,38.2
North,Punjab,Amritsar,2022,August,17.6
North,Punjab,Amritsar,2022,September,31.2
North,Punjab,Amritsar,2022,October,34.8
North,Punjab,Amritsar,2022,November,17.8
North,Punjab,Amritsar,2022,December,1.8
North,Punjab,Amritsar,2023,January,9.2
North,Punjab,Amritsar,2023,February,23.9
North,Punjab,Amritsar,2023,March,31.3
North,Punjab,Amritsar,2023,April,30.0
North,Punjab,Amritsar,2023,May,9.7
North,Punjab,Amritsar,2023,June,23.3
North,Punjab,Amritsar,2023,July,12.0
North,Punjab,Amritsar,2023,August,14.0
North,Punjab,Amritsar,2023,September,35.9
North,Punjab,Amritsar,2023,October,10.6
North,Punjab,Amritsar,2023,November,38.6
North,Punjab,Amritsar,2023,December,26.1
North,Punjab,Ludhiana,2020,January,8.8
North,Punjab,Ludhiana,2020,February,20.8
North,Punjab,Ludhiana,2020,March,23.0
North,Punjab,Ludhiana,2020,April,39.7
North,Punjab,Ludhiana,2020,May,23.5
North,Punjab,Ludhiana,2020,June,32.1
North,Punjab,Ludhiana,2020,July,39.9
North,Punjab,Ludhiana,2020,August,11.6
North,Punjab,Ludhiana,2020,September,16.5
North,Punjab,Ludhiana,2020,October,9.2
North,Punjab,Ludhiana,2020,November,16.4
North,Punjab,Ludhiana,2020,December,23.7
North,Punjab,Ludhiana,2021,January,19.4
North,Punjab,Ludhiana,2021,February,25.9
North,Punjab,Ludhiana,2021,March,17.4
North,Punjab,Ludhiana,2021,April,34.0
North,Punjab,Ludhiana,2021,May,33.0
North,Punjab,Ludhiana,2021,June,29.8
North,Punjab,Ludhiana,2021,July,34.0
North,Punjab,Ludhiana,2021,August,27.5
North,Punjab,Ludhiana,2021,September,33.8
North,Punjab,Ludhiana,2021,October,19.4
North,Punjab,Ludhiana,2021,November,6.8
North,Punjab,Ludhiana,2021,December,24.0
North,Punjab,Ludhiana,2022,January,2.9
North,Punjab,Ludhiana,2022,February,13.3
North,Punjab,Ludhiana,2022,March,26.0
North,Punjab,Ludhiana,2022,April,17.5
North,Punjab,Ludhiana,2022,May,25.0
North,Punjab,Ludhiana,2022,June,21.4
North,Punjab,Ludhiana,2022,July,20.4
North,Punjab,Ludhiana,2022,August,9.9
North,Punjab,Ludhiana,2022,September,9.2
North,Punjab,Ludhiana,2022,October,27.0
North,Punjab,Ludhiana,2022,November,22.9
North,Punjab,Ludhiana,2022,December,28.5
North,Punjab,Ludhiana,2023,January,13.6
North,Punjab,Ludhiana,2023,February,5.8
North,Punjab,Ludhiana,2023,March,8.2
North,Punjab,Ludhiana,2023,April,16.9
North,Punjab,Ludhiana,2023,May,10.6
North,Punjab,Ludhiana,2023,June,14.3
North,Punjab,Ludhiana,2023,July,20.7
North,Punjab,Ludhiana,2023,August,26.2
North,Punjab,Ludhiana,2023,September,39.5
North,Punjab,Ludhiana,2023,October,34.9
North,Punjab,Ludhiana,2023,November,27.3
North,Punjab,Ludhiana,2023,December,10.8
North,Punjab,Chandigarh,2020,January,1.3
North,Punjab,Chandigarh,2020,February,4.2
North,Punjab,Chandigarh,2020,March,36.1
North,Punjab,Chandigarh,2020,April,36.7
North,Punjab,Chandigarh,2020,May,25.3
North,Punjab,Chandigarh,2020,June,34.7
North,Punjab,Chandigarh,2020,July,24.9
North,Punjab,Chandigarh,2020,August,22.7
North,Punjab,Chandigarh,2020,September,29.5
North,Punjab,Chandigarh,2020,October,37.1
North,Punjab,Chandigarh,2020,November,24.7
North,Punjab,Chandigarh,2020,December,27.6
North,Punjab,Chandigarh,2021,January,2.6
North,Punjab,Chandigarh,2021,February,26.5
North,Punjab,Chandigarh,2021,March,25.9
North,Punjab,Chandigarh,2021,April,25.9
North,Punjab,Chandigarh,2021,May,35.5
North,Punjab,Chandigarh,2021,June,37.9
North,Punjab,Chandigarh,2021,July,21.6
North,Punjab,Chandigarh,2021,August,15.9
North,Punjab,Chandigarh,2021,September,23.5
North,Punjab,Chandigarh,2021,October,25.0
North,Punjab,Chandigarh,2021,November,8.9
North,Punjab,Chandigarh,2021,December,26.9
North,Punjab,Chandigarh,2022,January,10.7
North,Punjab,Chandigarh,2022,February,23.8
North,Punjab,Chandigarh,2022,March,37.5
North,Punjab,Chandigarh,2022,April,11.2
North,Punjab,Chandigarh,2022,May,23.7
North,Punjab,Chandigarh,2022,June,20.8
North,Punjab,Chandigarh,2022,July,20.7
North,Punjab,Chandigarh,2022,August,22.3
North,Punjab,Chandigarh,2022,September,35.7
North,Punjab,Chandigarh,2022,October,11.9
North,Punjab,Chandigarh,2022,November,22.6
North,Punjab,Chandigarh,2022,December,18.6
North,Punjab,Chandigarh,2023,January,26.9
North,Punjab,Chandigarh,2023,February,0.9
North,Punjab,Chandigarh,2023,March,32.5
North,Punjab,Chandigarh,2023,April,21.7
North,Punjab,Chandigarh,2023,May,25.3
North,Punjab,Chandigarh,2023,June,20.6
North,Punjab,Chandigarh,2023,July,7.5
North,Punjab,Chandigarh,2023,August,17.2
North,Punjab,Chandigarh,2023,September,21.7
North,Punjab,Chandigarh,2023,October,19.9
North,Punjab,Chandigarh,2023,November,25.6
North,Punjab,Chandigarh,2023,December,20.9
North,Haryana,Gurgaon,2020,January,0.0
North,Haryana,Gurgaon,2020,February,17.7
North,Haryana,Gurgaon,2020,March,28.7
North,Haryana,Gurgaon,2020,April,22.9
North,Haryana,Gurgaon,2020,May,21.9
North,Haryana,Gurgaon,2020,June,8.6
North,Haryana,Gurgaon,2020,July,26.7
North,Haryana,Gurgaon,2020,August,6.1
North,Haryana,Gurgaon,2020,September,8.0
North,Haryana,Gurgaon,2020,October,5.8
North,Haryana,Gurgaon,2020,November,31.5
North,Haryana,Gurgaon,2020,December,22.5
North,Haryana,Gurgaon,2021,January,17.7
North,Haryana,Gurgaon,2021,February,-0.7
North,Haryana,Gurgaon,2021,March,25.6
North,Haryana,Gurgaon,2021,April,23.0
North,Haryana,Gurgaon,2021,May,32.4
North,Haryana,Gurgaon,2021,June,23.8
North,Haryana,Gurgaon,2021,July,18.5
North,Haryana,Gurgaon,2021,August,21.0
North,Haryana,Gurgaon,2021,September,25.8
North,Haryana,Gurgaon,2021,October,21.6
North,Haryana,Gurgaon,2021,November,29.6
North,Haryana,Gurgaon,2021,December,7.7
North,Haryana,Gurgaon,2022,January,21.2
North,Haryana,Gurgaon,2022,February,21.4
North,Haryana,Gurgaon,2022,March,8.5
North,Haryana,Gurgaon,2022,April,9.0
North,Haryana,Gurgaon,2022,May,36.7
North,Haryana,Gurgaon,2022,June,5.8
North,Haryana,Gurgaon,2022,July,34.3
North,Haryana,Gurgaon,2022,August,25.4
North,Haryana,Gurgaon,2022,September,24.2
North,Haryana,Gurgaon,2022,October,16.4
North,Haryana,Gurgaon,2022,November,22.2
North,Haryana,Gurgaon,2022,December,11.4
North,Haryana,Gurgaon,2023,January,8.6
North,Haryana,Gurgaon,2023,February,36.9
North,Haryana,Gurgaon,2023,March,35.4
North,Haryana,Gurgaon,2023,April,37.2
North,Haryana,Gurgaon,2023,May,27.1
North,Haryana,Gurgaon,2023,June,20.9
North,Haryana,Gurgaon,2023,July,29.2
North,Haryana,Gurgaon,2023,August,17.7
North,Haryana,Gurgaon,2023,September,14.4
North,Haryana,Gurgaon,2023,October,35.9
North,Haryana,Gurgaon,2023,November,12.6
North,Haryana,Gurgaon,2023,December,28.8
North,Haryana,Faridabad,2020,January,23.6
North,Haryana,Faridabad,2020,February,-0.7
North,Haryana,Faridabad,2020,March,10.0
North,Haryana,Faridabad,2020,April,35.9
North,Haryana,Faridabad,2020,May,25.8
North,Haryana,Faridabad,2020,June,32.9
North,Haryana,Faridabad,2020,July,40.0
North,Haryana,Faridabad,2020,August,28.4
North,Haryana,Faridabad,2020,September,25.9
North,Haryana,Faridabad,2020,October,36.4
North,Haryana,Faridabad,2020,November,5.5
North,Haryana,Faridabad,2020,December,7.5
North,Haryana,Faridabad,2021,January,1.7
North,Haryana,Faridabad,2021,February,22.4
North,Haryana,Faridabad,2021,March,14.4
North,Haryana,Faridabad,2021,April,20.8
North,Haryana,Faridabad,2021,May,37.8
North,Haryana,Faridabad,2021,June,8.5
North,Haryana,Faridabad,2021,July,11.2
North,Haryana,Faridabad,2021,August,8.1
North,Haryana,Faridabad,2021,September,9.6
North,Haryana,Faridabad,2021,October,12.9
North,Haryana,Faridabad,2021,November,27.0
North,Haryana,Faridabad,2021,December,29.5
North,Haryana,Faridabad,2022,January,16.7
North,Haryana,Faridabad,2022,February,21.1
North,Haryana,Faridabad,2022,March,8.7
North,Haryana,Faridabad,2022,April,23.1
North,Haryana,Faridabad,2022,May,30.2
North,Haryana,Faridabad,2022,June,6.6
North,Haryana,Faridabad,2022,July,16.1
North,Haryana,Faridabad,2022,August,17.1
North,Haryana,Faridabad,2022,September,13.6
North,Haryana,Faridabad,2022,October,33.1
North,Haryana,Faridabad,2022,November,23.8
North,Haryana,Faridabad,2022,December,23.5
North,Haryana,Faridabad,2023,January,20.5
North,Haryana,Faridabad,2023,February,2.7
North,Haryana,Faridabad,2023,March,36.6
North,Haryana,Faridabad,2023,April,25.7
North,Haryana,Faridabad,2023,May,16.0
North,Haryana,Faridabad,2023,June,39.1
North,Haryana,Faridabad,2023,July,7.8
North,Haryana,Faridabad,2023,August,5.5
North,Haryana,Faridabad,2023,September,37.9
North,Haryana,Faridabad,2023,October,29.7
North,Haryana,Faridabad,2023,November,6.7
